Name,Symbol,Formula,Code,Description
abstract-058,걀,"=UNICHAR(HEX2DEC(""ac40""))",ac40,Abstract 058: (abstract)
abstract-059,걁,"=UNICHAR(HEX2DEC(""ac41""))",ac41,Abstract 059: (abstract)
abstract-060,걂,"=UNICHAR(HEX2DEC(""ac42""))",ac42,Abstract 060: (abstract)
abstract-061,걃,"=UNICHAR(HEX2DEC(""ac43""))",ac43,Abstract 061: (abstract)
abstract-062,걄,"=UNICHAR(HEX2DEC(""ac44""))",ac44,Abstract 062: (abstract)
abstract-063,걅,"=UNICHAR(HEX2DEC(""ac45""))",ac45,Abstract 063: (abstract)
abstract-064,걆,"=UNICHAR(HEX2DEC(""ac46""))",ac46,Abstract 064: (abstract)
abstract-065,걇,"=UNICHAR(HEX2DEC(""ac47""))",ac47,Abstract 065: (abstract)
abstract-066,걈,"=UNICHAR(HEX2DEC(""ac48""))",ac48,Abstract 066: (abstract)
abstract-067,걉,"=UNICHAR(HEX2DEC(""ac49""))",ac49,Abstract 067: (abstract)
abstract-068,걊,"=UNICHAR(HEX2DEC(""ac4a""))",ac4a,Abstract 068: (abstract)
abstract-069,걋,"=UNICHAR(HEX2DEC(""ac4b""))",ac4b,Abstract 069: (abstract)
abstract-070,걌,"=UNICHAR(HEX2DEC(""ac4c""))",ac4c,Abstract 070: (abstract)
abstract-071,걍,"=UNICHAR(HEX2DEC(""ac4d""))",ac4d,Abstract 071: (abstract)
abstract-072,걎,"=UNICHAR(HEX2DEC(""ac4e""))",ac4e,Abstract 072: (abstract)
abstract-073,걏,"=UNICHAR(HEX2DEC(""ac4f""))",ac4f,Abstract 073: (abstract)
abstract-074,걐,"=UNICHAR(HEX2DEC(""ac50""))",ac50,Abstract 074: (abstract)
abstract-075,걑,"=UNICHAR(HEX2DEC(""ac51""))",ac51,Abstract 075: (abstract)
abstract-076,걒,"=UNICHAR(HEX2DEC(""ac52""))",ac52,Abstract 076: (abstract)
abstract-077,걓,"=UNICHAR(HEX2DEC(""ac53""))",ac53,Abstract 077: (abstract)
abstract-078,걔,"=UNICHAR(HEX2DEC(""ac54""))",ac54,Abstract 078: (abstract)
abstract-079,걕,"=UNICHAR(HEX2DEC(""ac55""))",ac55,Abstract 079: (abstract)
abstract-080,걖,"=UNICHAR(HEX2DEC(""ac56""))",ac56,Abstract 080: (abstract)
abstract-081,걗,"=UNICHAR(HEX2DEC(""ac57""))",ac57,Abstract 081: (abstract)
abstract-082,걘,"=UNICHAR(HEX2DEC(""ac58""))",ac58,Abstract 082: (abstract)
abstract-083,걙,"=UNICHAR(HEX2DEC(""ac59""))",ac59,Abstract 083: (abstract)
abstract-084,걚,"=UNICHAR(HEX2DEC(""ac5a""))",ac5a,Abstract 084: (abstract)
abstract-085,걛,"=UNICHAR(HEX2DEC(""ac5b""))",ac5b,Abstract 085: (abstract)
abstract-086,걜,"=UNICHAR(HEX2DEC(""ac5c""))",ac5c,Abstract 086: (abstract)
abstract-087,걝,"=UNICHAR(HEX2DEC(""ac5d""))",ac5d,Abstract 087: (abstract)
abstract-088,걞,"=UNICHAR(HEX2DEC(""ac5e""))",ac5e,Abstract 088: (abstract)
abstract-089,걟,"=UNICHAR(HEX2DEC(""ac5f""))",ac5f,Abstract 089: (abstract)
abstract-090,걠,"=UNICHAR(HEX2DEC(""ac60""))",ac60,Abstract 090: (abstract)
abstract-091,걡,"=UNICHAR(HEX2DEC(""ac61""))",ac61,Abstract 091: (abstract)
abstract-092,걢,"=UNICHAR(HEX2DEC(""ac62""))",ac62,Abstract 092: (abstract)
abstract-093,걣,"=UNICHAR(HEX2DEC(""ac63""))",ac63,Abstract 093: (abstract)
abstract-094,걤,"=UNICHAR(HEX2DEC(""ac64""))",ac64,Abstract 094: (abstract)
abstract-095,걥,"=UNICHAR(HEX2DEC(""ac65""))",ac65,Abstract 095: (abstract)
abstract-096,걦,"=UNICHAR(HEX2DEC(""ac66""))",ac66,Abstract 096: (abstract)
abstract-097,걧,"=UNICHAR(HEX2DEC(""ac67""))",ac67,Abstract 097: (abstract)
abstract-098,걨,"=UNICHAR(HEX2DEC(""ac68""))",ac68,Abstract 098: (abstract)
abstract-099,걩,"=UNICHAR(HEX2DEC(""ac69""))",ac69,Abstract 099: (abstract)
abstract-100,걪,"=UNICHAR(HEX2DEC(""ac6a""))",ac6a,Abstract 100: (abstract)
abstract-101,걫,"=UNICHAR(HEX2DEC(""ac6b""))",ac6b,Abstract 101: (abstract)
abstract-102,걬,"=UNICHAR(HEX2DEC(""ac6c""))",ac6c,Abstract 102: (abstract)
abstract-103,걭,"=UNICHAR(HEX2DEC(""ac6d""))",ac6d,Abstract 103: (abstract)
abstract-104,걮,"=UNICHAR(HEX2DEC(""ac6e""))",ac6e,Abstract 104: (abstract)
abstract-105,걯,"=UNICHAR(HEX2DEC(""ac6f""))",ac6f,Abstract 105: (abstract)
abstract-106,거,"=UNICHAR(HEX2DEC(""ac70""))",ac70,Abstract 106: (abstract)
abstract-107,걱,"=UNICHAR(HEX2DEC(""ac71""))",ac71,Abstract 107: (abstract)
abstract-108,걲,"=UNICHAR(HEX2DEC(""ac72""))",ac72,Abstract 108: (abstract)
abstract-109,걳,"=UNICHAR(HEX2DEC(""ac73""))",ac73,Abstract 109: (abstract)
abstract-110,건,"=UNICHAR(HEX2DEC(""ac74""))",ac74,Abstract 110: (abstract)
abstract-111,걵,"=UNICHAR(HEX2DEC(""ac75""))",ac75,Abstract 111: (abstract)
abstract-112,걶,"=UNICHAR(HEX2DEC(""ac76""))",ac76,Abstract 112: (abstract)
abstract-113,걷,"=UNICHAR(HEX2DEC(""ac77""))",ac77,Abstract 113: (abstract)
abstract-114,걸,"=UNICHAR(HEX2DEC(""ac78""))",ac78,Abstract 114: (abstract)
abstract-115,걹,"=UNICHAR(HEX2DEC(""ac79""))",ac79,Abstract 115: (abstract)
abstract-116,걺,"=UNICHAR(HEX2DEC(""ac7a""))",ac7a,Abstract 116: (abstract)
abstract-117,걻,"=UNICHAR(HEX2DEC(""ac7b""))",ac7b,Abstract 117: (abstract)
abstract-118,걼,"=UNICHAR(HEX2DEC(""ac7c""))",ac7c,Abstract 118: (abstract)
abstract-119,걽,"=UNICHAR(HEX2DEC(""ac7d""))",ac7d,Abstract 119: (abstract)
abstract-120,걾,"=UNICHAR(HEX2DEC(""ac7e""))",ac7e,Abstract 120: (abstract)
abstract-121,걿,"=UNICHAR(HEX2DEC(""ac7f""))",ac7f,Abstract 121: (abstract)
accordion,검,"=UNICHAR(HEX2DEC(""ac80""))",ac80,Accordion: Expand or compress the bellows while pressing on keys to hear Amelie Poulain music. (france musical-instrument)
ace,겁,"=UNICHAR(HEX2DEC(""ac81""))",ac81,"Ace: Despite being situated at the beginning of the suit, it can defeat the king in a card game most of the time. (board symbol toy)"
achievement,겂,"=UNICHAR(HEX2DEC(""ac82""))",ac82,Achievement: A medal of honor for bravery or first place during a competition. (rank)
achilles-heel,것,"=UNICHAR(HEX2DEC(""ac83""))",ac83,Achilles heel: This kind of non obvious weak point can turn into a crucial vulnerability when discovered. At least it's not an arrow in the knee! (arrow boot greek-roman)
acid-blob,겄,"=UNICHAR(HEX2DEC(""ac84""))",ac84,Acid blob: Corrosive contact with the skin that leaves deep burning wounds and possible scars. (chemical liquid)
acid-tube,겅,"=UNICHAR(HEX2DEC(""ac85""))",ac85,Acid tube: A dangerous liquid preciously kept away from kids. (chemical)
acid,겆,"=UNICHAR(HEX2DEC(""ac86""))",ac86,Acid: Corrosive material bubbling in the air. (chemical liquid)
acorn,겇,"=UNICHAR(HEX2DEC(""ac87""))",ac87,"Acorn: A precious collectible for squirrels who live in a oak. During autumn, these nuts cover the floor of forests. (plant wood)"
acoustic-megaphone,겈,"=UNICHAR(HEX2DEC(""ac88""))",ac88,Acoustic megaphone: Simple way to scream loudly to a crowd during a strike to give it instructions or orders. (cinema electronic sound)
acrobatic,겉,"=UNICHAR(HEX2DEC(""ac89""))",ac89,"Acrobatic: Quick agile moves in the air, harmoniously jumping from ropes, cables or small platforms. (action body ninja)"
aerial-signal,겊,"=UNICHAR(HEX2DEC(""ac8a""))",ac8a,Aerial Signal: Network reception through WIFI or BlueTooth. (electronic gui symbol)
aerodynamic-harpoon,겋,"=UNICHAR(HEX2DEC(""ac8b""))",ac8b,Aerodynamic harpoon: A arrow head with move stripes. (arrow)
aerosol,게,"=UNICHAR(HEX2DEC(""ac8c""))",ac8c,Aerosol: A spray to tag walls and paint graphic creation in abandoned parts of cities. (chemical smoke)
africa,겍,"=UNICHAR(HEX2DEC(""ac8d""))",ac8d,"Africa: This continent is considered the crib of mankind. The north part is covered by the Sahara desert. Below, the savanna is home of many species like lions, giraffes and elephants. (map)"
afterburn,겎,"=UNICHAR(HEX2DEC(""ac8e""))",ac8e,"Afterburn: A turbo propulsion to travel at high speed, breaking the wall of sound. (machine science-fiction sky vehicle)"
agave,겏,"=UNICHAR(HEX2DEC(""ac8f""))",ac8f,Agave: This dry plant growing in the desert is used to produce Tequila. It is a cactus? Try to touch it to be sure! (mexico plant)
ages,겐,"=UNICHAR(HEX2DEC(""ac90""))",ac90,"Ages: An adult and a child side by side. One person is old and wise, the other one is young and quick. (board body)"
air-balloon,겑,"=UNICHAR(HEX2DEC(""ac91""))",ac91,Air balloon: Hot and slow balloon to travel in the clouds and go around the world in less than 80 days. (sky steampunk vehicle)
air-force,겒,"=UNICHAR(HEX2DEC(""ac92""))",ac92,"Air force: Aviators mark on their planes and jackets, with stripes in the background. (shield symbol)"
air-man,겓,"=UNICHAR(HEX2DEC(""ac93""))",ac93,Air man: One of the bosses of Megaman 2 with a propeller on its torso. (head robot)
air-zigzag,겔,"=UNICHAR(HEX2DEC(""ac94""))",ac94,Air zigzag: Not in a straight fashion. (blood claw spike)
airplane-arrival,겕,"=UNICHAR(HEX2DEC(""ac95""))",ac95,"Airplane arrival: After a long flight, this plane is finally landing on the airport and the passenger will go through the customs. (sky vehicle)"
airplane-departure,겖,"=UNICHAR(HEX2DEC(""ac96""))",ac96,Airplane departure: Take off to reach the clouds and start a journey. (sky vehicle)
airplane,겗,"=UNICHAR(HEX2DEC(""ac97""))",ac97,Airplane: A small aircraft for 1 or 2 pilots. (sky vehicle)
airtight-hatch,겘,"=UNICHAR(HEX2DEC(""ac98""))",ac98,Airtight hatch: This pressurized environment rely on a thick automated seal to protect the inside from the void. (building door lock science-fiction)
ak47,겙,"=UNICHAR(HEX2DEC(""ac99""))",ac99,"AK47: Avtomat Kalachnikova, 1947 model. Russian weapon. (gun)"
ak47u,겚,"=UNICHAR(HEX2DEC(""ac9a""))",ac9a,"AK47u: Avtomat Kalachnikova, 1947 model. Shorter version. (gun)"
akhet,겛,"=UNICHAR(HEX2DEC(""ac9b""))",ac9b,"Akhet: A hieroglyph representing the sun rising over a mountain, like a disc in balance inside a groove. (egypt symbol)"
alarm-clock,겜,"=UNICHAR(HEX2DEC(""ac9c""))",ac9c,"Alarm clock: Produces a strident ring to wake you up in the morning. If the hands are not phosphorescent, it's impossible to tell the time in dark room at night. (household sound time)"
algae,겝,"=UNICHAR(HEX2DEC(""ac9d""))",ac9d,Algae: Aquatic plants living on rocks at the bottom of the ocean. It's often a shelter for fish and can even be turned into an edible salad. (plant sea)
algeria,겞,"=UNICHAR(HEX2DEC(""ac9e""))",ac9e,"Algeria: Country located north of Africa, on the south bank of the Mediterannean sea. (map)"
alien-bug,겟,"=UNICHAR(HEX2DEC(""ac9f""))",ac9f,Alien bug: An insectoid alien living in swarm colony and multiplying at big scale in no time. Not sure that it produces edible space honey. (claw creature science-fiction space)
alien-egg,겠,"=UNICHAR(HEX2DEC(""aca0""))",aca0,Alien egg: A monstrous baby about to emerge from its viscous incubation cocoon and start hunting. (creature egg science-fiction space tentacle)
alien-fire,겡,"=UNICHAR(HEX2DEC(""aca1""))",aca1,Alien Fire: A spectral entity coming from another planet. (fire)
alien-skull,겢,"=UNICHAR(HEX2DEC(""aca2""))",aca2,"Alien skull: A dead cranium with long and sharp fangs. Truth is elsewhere, on another planet. (skull space)"
alien-stare,겣,"=UNICHAR(HEX2DEC(""aca3""))",aca3,Alien stare: Encounter of the third type when you face this monster from a distant planet of the outerspace. (head science-fiction space)
all-for-one,겤,"=UNICHAR(HEX2DEC(""aca4""))",aca4,"All for one: ""All for one, one for all"", a musketeers apology praising team work to defeat foes. (blade weapon)"
all-seeing-eye,겥,"=UNICHAR(HEX2DEC(""aca5""))",aca5,"All seeing eye: The Eye of providence casting rays. God is watching you, even from dollar bills, privacy is gone forever. (eye symbol)"
allied-star,겦,"=UNICHAR(HEX2DEC(""aca6""))",aca6,Allied star: Symbol of allied troops during WW2 (star symbol world-wars)
alligator-clip,겧,"=UNICHAR(HEX2DEC(""aca7""))",aca7,Alligator clip: A sharp plier head to clip wires and remove extraneous plastic. (mouth spike)
almond,겨,"=UNICHAR(HEX2DEC(""aca8""))",aca8,"Almond: A dry nut used to make milk, cake and biscuits like nougat or macarons. (food fruit)"
amber-mosquito,격,"=UNICHAR(HEX2DEC(""aca9""))",aca9,Amber mosquito: A disturbing blood sucker from Jurassic trapped in stone. It contains previous DNA necessary to bring back to life extinct species like dinosaurs. (insect mineral)
ambulance,겪,"=UNICHAR(HEX2DEC(""acaa""))",acaa,Ambulance: An emergency transportation to carry injured people to the nearest hospital in a hurry. (life vehicle)
american-football-ball,겫,"=UNICHAR(HEX2DEC(""acab""))",acab,"American football ball: Give it to the quarterback to score. The rugby ball is quite similar, looking like a long egg. (australia ball sport)"
american-football-helmet,견,"=UNICHAR(HEX2DEC(""acac""))",acac,American football helmet: To protect the quaterback's head when the ball is dropping. (hat sport)
american-football-player,겭,"=UNICHAR(HEX2DEC(""acad""))",acad,American football player: A light armor is necessary to run across the field as a quarterback. (armor sport)
american-shield,겮,"=UNICHAR(HEX2DEC(""acae""))",acae,"American shield: Made from Vibranium, the Captain's shield is virtually indestructible and usually comes back like a Frisbee. (shield star)"
amethyst,겯,"=UNICHAR(HEX2DEC(""acaf""))",acaf,Amethyst: A purple quartz protecting from drunkenness. (jewellery mineral)
ammo-box,결,"=UNICHAR(HEX2DEC(""acb0""))",acb0,Ammo box: Bullets container to reload an empty gun. (container weapon)
ammonite-fossil,겱,"=UNICHAR(HEX2DEC(""acb1""))",acb1,Ammonite fossil: A petrified marine creature trapped in the ocean floor. One of the first complex living organism. (animal sea shell stone)
ammonite,겲,"=UNICHAR(HEX2DEC(""acb2""))",acb2,Ammonite: A very old marine specie of mollusk which used to live in the ocean during ancient times.Nowadays it's mostly encountered as a fossil. (animal sea shell)
amphora,겳,"=UNICHAR(HEX2DEC(""acb3""))",acb3,Amphora: A Roman vase to hold wine or other precious liquids during banquets. Many fragments of amphora are found in archaeological site. (bottle greek-roman kitchenware liquid)
ample-dress,겴,"=UNICHAR(HEX2DEC(""acb4""))",acb4,Ample dress: A large skirt that may be worn during a wedding or a ceremony. (clothing)
amplitude,겵,"=UNICHAR(HEX2DEC(""acb5""))",acb5,"Amplitude: A sinusoidal wave signal recorded on a oscilloscope. Judging from the shape, it could be a sound with decay at the end. (machine sound)"
amputation,겶,"=UNICHAR(HEX2DEC(""acb6""))",acb6,Amputation: A hand quick removal during surgery or combat. The stump can fester if not properly sterilized. (action hand trap)
anarchy,겷,"=UNICHAR(HEX2DEC(""acb7""))",acb7,Anarchy: A political movement against establishment where decisions follow the will of the people. (symbol)
anatomy,겸,"=UNICHAR(HEX2DEC(""acb8""))",acb8,Anatomy: Vital organs inside a human organism to help surgeons. (anatomy body)
anchor,겹,"=UNICHAR(HEX2DEC(""acb9""))",acb9,Anchor: The favorite tattoo of sailors on their arms. This huge hook of metal is attached to the floor of the sea to keep boats in stationary position. (boat liquid pirate sea)
ancient-columns,겺,"=UNICHAR(HEX2DEC(""acba""))",acba,Ancient columns: 3 broken columns belonging to an old temple in ruins. (building greek-roman)
ancient-ruins,겻,"=UNICHAR(HEX2DEC(""acbb""))",acbb,Ancient ruins: An old temple falling apart with broken columns and rusty parts. (building greek-roman stone)
ancient-screw,겼,"=UNICHAR(HEX2DEC(""acbc""))",acbc,Ancient screw: This bolt belongs to the carapace to old guardian robots. (machine zelda)
ancient-sword,경,"=UNICHAR(HEX2DEC(""acbd""))",acbd,Ancient sword: This old sword is stuck in a stone and covered with moss. (blade)
android-mask,겾,"=UNICHAR(HEX2DEC(""acbe""))",acbe,Android mask: A robot face with sharp edges. (mask robot science-fiction)
andromeda-chain,겿,"=UNICHAR(HEX2DEC(""acbf""))",acbf,Andromeda chain: The favorite metal whip of one of the Zodiac Knights. It's composed of metal links connected together. (metal weapon)
angel-outfit,곀,"=UNICHAR(HEX2DEC(""acc0""))",acc0,Angel outfit: A holy halo above the head and strong wings in the back to be disguised as a soldier of God. (wing)
angel-wings,곁,"=UNICHAR(HEX2DEC(""acc1""))",acc1,Angel wings: Holy feathers to reach Paradise and fly through the clouds watching over mortals. (wing)
angler-fish,곂,"=UNICHAR(HEX2DEC(""acc2""))",acc2,"Angler fish: Appealing light source in the darkness of abysses. In Donkey Kong Country 2, <em>Glimmer the Angler Fish</em> helps Diddy and Dixie to find their way through flooded ship wrecks. (animal fish sea)"
angola,곃,"=UNICHAR(HEX2DEC(""acc3""))",acc3,Angola: South african country bordered by the Atlantic Ocean. The capital is Luanda. (map)
angry-eyes,계,"=UNICHAR(HEX2DEC(""acc4""))",acc4,"Angry eyes: Stare with frowned eyebrows, feeling anger. (eye state)"
angular-spider,곅,"=UNICHAR(HEX2DEC(""acc5""))",acc5,Angular Spider: This one could fit as an emblem for a modern super hero. (animal insect)
animal-hide,곆,"=UNICHAR(HEX2DEC(""acc6""))",acc6,"Animal hide: Leather skin, gathered after hunting or farming. This nice fur can then be turned into a pelt. (animal stone-age)"
animal-skull,곇,"=UNICHAR(HEX2DEC(""acc7""))",acc7,Animal skull: Angular cheekbones and spiky teeth for this bestial cranium. (animal skull)
ankh,곈,"=UNICHAR(HEX2DEC(""acc8""))",acc8,Ankh: A precious artifact that fits perfectly in Lara Croft's mansion after running after it during the 4th episode of her adventures. (cross egypt symbol)
annexation,곉,"=UNICHAR(HEX2DEC(""acc9""))",acc9,Annexation: All your bases belong to us! A military invasion in an enemy country to take it under permanent control. (action arrow map world-wars)
ant,곊,"=UNICHAR(HEX2DEC(""acca""))",acca,"Ant: A small part of a coordinated crowd, living in a colony of workers serving a queen. (insect)"
antarctica,곋,"=UNICHAR(HEX2DEC(""accb""))",accb,Antarctica: The frozen continent at the South Pole is full of mysteries under the thick ice. (ice map)
anteater,곌,"=UNICHAR(HEX2DEC(""accc""))",accc,"Anteater: With its longue tongue, it can reach ants tunnels to feed. (mammal)"
anthem,곍,"=UNICHAR(HEX2DEC(""accd""))",accd,Anthem: Hymn to rally the troops under a same nation feeling. Crowds often intone this heroic melody to support their sport team. (sound)
anti-aircraft-gun,곎,"=UNICHAR(HEX2DEC(""acce""))",acce,Anti aircraft gun: Ground artillery to protect from danger in the sky. (gun weapon)
antibody,곏,"=UNICHAR(HEX2DEC(""accf""))",accf,Antibody: The immune system used this Y-shaped protein produced by plasma cells to neutralize pathogens like bacteria and viruses (chemical)
anticlockwise-rotation,곐,"=UNICHAR(HEX2DEC(""acd0""))",acd0,Anticlockwise rotation: An arrow turning from right to left in the top quadrant. (arrow gui)
ants,곑,"=UNICHAR(HEX2DEC(""acd1""))",acd1,Ants: A colony of soldiers and workers contributing to the hive. (insect)
anubis,곒,"=UNICHAR(HEX2DEC(""acd2""))",acd2,"Anubis: Egyptian god of mummification with a jackal head, which looks like a wolf like invincible monster. (creature death egypt)"
anvil-impact,곓,"=UNICHAR(HEX2DEC(""acd3""))",acd3,"Anvil impact: A blacksmith smashing a hammer to beat hot steel in his forge to conceive blades. In this smithy, horseshoes can also be produced. (hammer metal tool)"
anvil,곔,"=UNICHAR(HEX2DEC(""acd4""))",acd4,"Anvil: Everytime you need to forge a mighty sword, a skillfull blacksmith will easily transform bare metal to the right shape. (metal tool)"
apc,곕,"=UNICHAR(HEX2DEC(""acd5""))",acd5,APC: Armoured Personnel Carrier constructed to drive infantry to the battlefield with maximal protection. (vehicle)
apollo-capsule,곖,"=UNICHAR(HEX2DEC(""acd6""))",acd6,Apollo capsule: A lunar module designed to carry astronauts back on earth. (space vehicle)
apothecary,곗,"=UNICHAR(HEX2DEC(""acd7""))",acd7,Apothecary: Large bowl to prepare mixtures and medicines by combining herbs and special potions. (kitchenware life)
apple-core,곘,"=UNICHAR(HEX2DEC(""acd8""))",acd8,Apple core: This apple has been eaten and only the center remains with seeds. (fruit)
apple-maggot,곙,"=UNICHAR(HEX2DEC(""acd9""))",acd9,"Apple maggot: This fruit is not rotten yet, but no one will ever want to take a bite at it. The apple is soiled by a cydia worm that reveals the internals and the seed. (fruit insect)"
